D000001	Calcimycin	5	1
D000002	Temefos	5	3
D000003	Abattoirs	3	2
D000004	Abbreviations as Topic	6	1
D000005	Abdomen	3	1
D000006	Abdomen, Acute	5	2
D000007	Abdominal Injuries	2	1
D000008	Abdominal Neoplasms	3	1
D000009	Abdominal Muscles	4	1
D000010	Abducens Nerve	5	1
D000011	Abelson murine leukemia virus	6	2
D000012	Abetalipoproteinemia	7	3
D000013	Congenital Abnormalities	2	1
D000014	Abnormalities, Drug-Induced	3	1
D000015	Abnormalities, Multiple	3	1
D000016	Abnormalities, Radiation-Induced	3	5
D000017	ABO Blood-Group System	5	2
D000018	Abomasum	3	1
D000019	Abortifacient Agents	5	2
D000020	Abortifacient Agents, Nonsteroidal	6	2
D000021	Abortifacient Agents, Steroidal	6	2
D000022	Abortion, Spontaneous	3	2
D000023	Abortion Applicants	2	1
D000024	Abortion, Criminal	4	1
D000025	Abortion, Eugenic	4	1
D000026	Abortion, Habitual	4	1
D000027	Abortion, Incomplete	4	1
D000028	Abortion, Induced	3	1
D000029	Abortion, Legal	4	1
D000030	Abortion, Missed	4	1
D000031	Abortion, Septic	4	3
D000032	Abortion, Therapeutic	4	1
D000033	Abortion, Threatened	3	1
D000034	Abortion, Veterinary	2	2
D000035	Abreaction	4	1
D000036	Abrin	5	3
D000037	Abruptio Placentae	4	2
D000038	Abscess	4	2
D000039	Peritonsillar Abscess	5	4
D000040	Abscisic Acid	5	5
D000041	Absenteeism	4	1
D000042	Absorption	2	5
D000043	Abstracting and Indexing as Topic	4	1
D000044	Dental Abutments	4	2
D000045	Acacia	9	1
D000046	Academic Medical Centers	3	1
D000047	Academies and Institutes	3	1
D000048	Acanthamoeba	6	1
D000049	Acanthocephala	5	1
D000050	Acanthocytes	5	3
D000051	Acantholysis	3	2
D000052	Acanthosis Nigricans	6	1
D000053	Acari	6	1
D000054	Acceleration	3	1
D000055	Accessory Nerve	5	1
D000056	Accident Prevention	4	1
D000057	Accident Proneness	3	1
D000058	Accidental Falls	4	1
D000059	Accidents	3	1
D000060	Accidents, Aviation	4	1
D000061	Accidents, Home	4	1
D000062	Accidents, Occupational	4	1
D000063	Accidents, Traffic	4	1
D000064	Acclimatization	3	2
D000065	Accommodation, Ocular	2	1
D000066	Accounting	4	1
D000066388	Oil and Gas Industry	5	1
D000066428	Coal Industry	5	1
D000066448	Driving Under the Influence	3	4
D000066449	Human Embryonic Stem Cells	5	1
D000066450	Mouse Embryonic Stem Cells	5	1
D000066473	Embryonic Germ Cells	3	2
D000066477	Work Performance	3	1
D000066479	Criminal Behavior	3	1
D000066491	Clinical Decision-Making	2	1
D000066492	Cognitive Aging	4	1
D000066494	Cognitive Neuroscience	4	2
D000066498	Emotional Adjustment	3	2
D000066499	Facial Recognition	6	2
D000066502	Grandparents	2	3
D000066505	Help-Seeking Behavior	4	1
D000066506	Heuristics	5	2
D000066511	Intimate Partner Violence	5	2
D000066530	Neurological Rehabilitation	3	4
D000066550	Physical Abuse	5	2
D000066553	Problem Behavior	4	2
D000066608	Underage Drinking	4	3
D000066630	Ectopic Gene Expression	3	1
D000066670	Cell Plasticity	3	1
D000066673	Cell Self Renewal	3	4
D000066768	Rehabilitation Research	5	1
D000066792	Orthodontists	4	2
D000066794	Oral and Maxillofacial Surgeons	4	2
D000066829	Neuroprotection	3	1
D000066888	Diet, Food, and Nutrition	2	1
D000066889	Triticale	9	1
